business_name,phone,address,city,state,rating,reviews,category,place_id
"Hayes & Sons Roofing LLC","+1726-227-7888","2218 Breezewood Dr, San Antonio, TX 78209","San Antonio","TX",4.8,83,"Roofing contractor","ChIJV8eMKyD1XIYROtMMN0IbWWQ"
"RoofAssistant","+1512-666-0527","118 Broadway # 626, San Antonio, TX 78205","San Antonio","TX",5,2,"Roofing contractor","ChIJnchsU9VfXIYR-yaPIQiFo6c"
"San Antonio Roofing","+1210-355-4225","207 Springwood Ln, San Antonio, TX 78216","San Antonio","TX",4.7,3,"Roofing contractor","ChIJTVDGDIVfXIYRRy5MURv0I-4"
"J.R Martínez roofing n remodeling","+1210-427-6418","302 Bradford Ave, San Antonio, TX 78228","San Antonio","TX",4.8,21,"General contractor","ChIJr6PbZ0RfXIYR7sgyAGbkKfo"
"Silver Creek Roofing Services","+1682-213-6994","158 Farmers Rd, Dallas, TX 75201","Dallas","TX",5,11,"Roofing contractor","ChIJ52HURLGZToYR2hJooHsh_O0"
"Elite Texas Roofing","+1214-810-4339","100 Crescent Ct Suite 700, Dallas, TX 75201","Dallas","TX",4.5,2,"Roofing contractor","ChIJi2RWukmZToYR-rZ4FsYtE9E"
"INVigorate Roofing","+1214-792-9848","1910 S Akard St, Dallas, TX 75215","Dallas","TX",5,11,"Roofing contractor","ChIJezlfu2WZToYR-cA1Giv0rrw"
"Princess' Construction inc","+1817-692-8614","3737 Atlanta St, Dallas, TX 75215","Dallas","TX",5,11,"Roofing contractor","ChIJ41ga1ayZToYRTH3yc32Fzsw"
"Greyhammer - Roofing & Construction","+1855-505-4739","1920 McKinney Ave #700, Dallas, TX 75201","Dallas","TX",4.6,11,"Roofing contractor","ChIJ72T4KTuZToYR4nhdHjGEkNQ"
"ACO Roofing & Gutters","","8035 E R L Thornton Fwy #269, Dallas, TX 75228","Dallas","TX",5,71,"Roofing contractor","ChIJL3e7rTEfTIYRXOk8vlif4vI"
"Azalea City Roofing & Construction","+1229-244-1339","990 South Saint Paul St, Dallas, TX 75201","Dallas","TX",4.2,6,"Roofing contractor","ChIJQ8g3cuVm7ogRZle91pVs4x4"
"Texas Roofing & Gutter Solutions.","+1469-490-3761","2112 Flora St, Dallas, TX 75201","Dallas","TX",4.6,9,"Roofing contractor","ChIJBYukng19ToYRVL2U5ZqoduA"
"Gallery Built Roofing","","6060 N Central Expy Suite 500, Dallas, TX 75206","Dallas","TX",4.9,186,"Roofing contractor","ChIJVVUljQ2fToYRhXvaTK_XwQM"
"Ortega Brothers Roofing & Remodeling","+1469-940-4249","6453 E Mockingbird Ln, Dallas, TX 75214","Dallas","TX",4.7,52,"Roofing contractor","ChIJYVw8S6ufToYRJXAc_N8BUjk"
"Reformed Roofing & Contracting","+1972-946-1775","5639 Dyer St Suite 200, Dallas, TX 75206","Dallas","TX",5,69,"Roofing contractor","ChIJKzIodvfiCIQRjtJOVCTkKgE"
"Quality Roofing Dallas.","+1844-557-8100","1602 Rowan Ave, Dallas, TX 75223","Dallas","TX",4.5,11,"Roofing contractor","ChIJT7QSZD6iToYR9qRxr0A3Fhw"
"Roof Repair Contractor","+1469-837-8083","250 W Lancaster Ave, Fort Worth, TX 76102","Fort Worth","TX",5,17,"Roofing contractor","ChIJ6wXEO-9xToYRTwomAaDkNv0"
"Roofers of Fort Worth","+1469-819-4382","315 W Magnolia Ave, Fort Worth, TX 76104","Fort Worth","TX",5,20,"Roofing contractor","ChIJyUjF4dhxToYRox_1tJV7wuw"
"Texas Best Roof Repair","+1817-383-8845","2336 Gravel Dr #652, Fort Worth, TX 76118","Fort Worth","TX",4.8,93,"Roofing contractor","ChIJIdypny55ToYRAv4HT2mVs6w"
"A1 Roofing Company","+1682-338-5275","4701 Brentwood Stair Rd, Fort Worth, TX 76103","Fort Worth","TX",5,24,"Roofing contractor","ChIJKeTjq117ToYRt6PLuCJ58io"
"A1 Roof Repairs Fort Worth","+1817-242-0401","4301 Weber St Apt. 305, Fort Worth, TX 76106","Fort Worth","TX",5,25,"Roofing contractor","ChIJO2k5ytd3ToYRoqf_E_XZglk"
"Perry Brothers Roof Repair","+1469-290-9297","3706 Alta Blvd, Fort Worth, TX 76133","Fort Worth","TX",4.9,43,"Roofing contractor","ChIJZdlTvAFtToYRb2ok8eMuPa0"
"Direct Roofing Company","+1469-837-8119","2301 Hudson St #117, Fort Worth, TX 76103","Fort Worth","TX",4.8,22,"Roofing contractor","ChIJCasIhANxToYRPUMPD56XZMs"
"JR Roofing Company","+1469-281-5226","2800 Stanley Ave, Fort Worth, TX 76110","Fort Worth","TX",5,21,"Roofing contractor","ChIJzc23hc1xToYRCFynVYv2V94"
"Balanced Roofing","+1817-771-3094","777 Main St Ste 600, Fort Worth, TX 76102","Fort Worth","TX",5,13,"Roofing contractor","ChIJO9lqfP9xToYRNsHt_M7xyqw"
"Direct Roofing Company Fort Worth","+1817-761-1275","2600 Western Center Blvd, Fort Worth, TX 76131","Fort Worth","TX",5,20,"Roofing contractor","ChIJe3RZURx3ToYRM5peTplUKyo"
"Fort Worth Roofing Professionals","+1469-848-5219","6901 N Beach St, Fort Worth, TX 76137","Fort Worth","TX",5,20,"Roofing contractor","ChIJObMlOwLZTYYR37CIW-56hJg"
"Shield Savers Restoration","+1972-503-4230","420 Throckmorton St #120, Fort Worth, TX 76102","Fort Worth","TX",5,12,"Roofing contractor","ChIJWx2k4aFxToYRouSZu80ZBGk"
"C2 Roofing & Construction","+1817-247-3107","6750 Locke Ave, Fort Worth, TX 76116","Fort Worth","TX",4.8,17,"Roofing contractor","ChIJR3Gn8xoDToYRPfIAbMMvoeA"
"Crossroads Roofing Co","+1346-359-5904","1509 Hawthorne St, Houston, TX 77006","Houston","TX",5,6,"Roofing contractor","ChIJf2j8jxLBQIYRPglrCjmW5RA"
"Wright Brothers Roofing","+1936-209-7110","5803 Gulf Fwy, Houston, TX 77023","Houston","TX",4.8,69,"Roofing contractor","ChIJs38C2f-_QIYRSJ22nrjFS-k"
"Cabrera & Sons LLC","+1346-478-6860","8556 Memorial Park Dr, Houston, TX 77055","Houston","TX",4.8,124,"Roofing contractor","ChIJ2Sic3C7FQIYRZ7lvhFfWYTc"
"Prominence Roofing Company","+1737-227-6870","800 Brazos St, Austin, TX 78701","Austin","TX",5,6,"Roofing contractor","ChIJixkLvpu1RIYRX1AyMjs9MKw"
"Austin City rooofers and more","","322 Congress Ave., Austin, TX 78701","Austin","TX",4.2,14,"Roofing contractor","ChIJ_488-KNFW4YRUpI87u92K3E"
"Balance Roofing Co","+1737-227-6869","604 W Oltorf St, Austin, TX 78704","Austin","TX",5,4,"Roofing contractor","ChIJvSZHD9S1RIYRI_zY7LUXEfo"
